date,cloud,region,service,sku,unit,unit_price
2025-02-22,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.500148
2025-02-23,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.535849
2025-02-24,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.467103
2025-02-25,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.393129
2025-02-26,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.44544
2025-02-27,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.381002
2025-02-28,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.507217
2025-03-01,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.660826
2025-03-02,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.440935
2025-03-03,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.425543
2025-03-04,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.558781
2025-03-05,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.542826
2025-03-06,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.51265
2025-03-07,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.388344
2025-03-08,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.49649
2025-03-09,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.583436
2025-03-10,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.338694
2025-03-11,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.445086
2025-03-12,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.271853
2025-03-13,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.345255
2025-03-14,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.278992
2025-03-15,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.471789
2025-03-16,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.347906
2025-03-17,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.532552
2025-03-18,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.51881
2025-03-19,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.477568
2025-03-20,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.197989
2025-03-21,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.435357
2025-03-22,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.49418
2025-03-23,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.513597
2025-03-24,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.316384
2025-03-25,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.44267
2025-03-26,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.382578
2025-03-27,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.40294
2025-03-28,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.627308
2025-03-29,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.403096
2025-03-30,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.496097
2025-03-31,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.606127
2025-04-01,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.429968
2025-04-02,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.486596
2025-04-03,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.513256
2025-04-04,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.507654
2025-04-05,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.352993
2025-04-06,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.509137
2025-04-07,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.663059
2025-04-08,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.314343
2025-04-09,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.603126
2025-04-10,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.514322
2025-04-11,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.423024
2025-04-12,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.74005
2025-04-13,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.591471
2025-04-14,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.356085
2025-04-15,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.508942
2025-04-16,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.569203
2025-04-17,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.477346
2025-04-18,aws,us-east-1,ec2,ec2_g5_2xlarge,instance_month,1.581949
