date,cloud,region,service,sku,unit,unit_price
2025-02-22,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2105.744385
2025-02-23,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2328.437587
2025-02-24,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2305.753141
2025-02-25,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2014.268411
2025-02-26,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2049.941122
2025-02-27,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2011.399456
2025-02-28,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2195.714028
2025-03-01,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2090.581174
2025-03-02,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2225.476784
2025-03-03,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1789.649434
2025-03-04,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2363.180194
2025-03-05,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2083.799397
2025-03-06,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2214.30358
2025-03-07,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2077.056856
2025-03-08,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2036.311441
2025-03-09,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2177.802507
2025-03-10,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2238.518273
2025-03-11,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2065.974982
2025-03-12,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2074.331922
2025-03-13,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2215.197367
2025-03-14,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1953.782772
2025-03-15,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1845.583571
2025-03-16,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2166.356953
2025-03-17,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1987.344942
2025-03-18,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1777.382781
2025-03-19,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1963.238984
2025-03-20,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2021.44361
2025-03-21,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1899.541984
2025-03-22,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1849.266067
2025-03-23,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2106.155155
2025-03-24,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2250.737875
2025-03-25,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2060.833811
2025-03-26,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1975.075867
2025-03-27,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2164.67896
2025-03-28,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2220.495616
2025-03-29,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2049.598219
2025-03-30,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2191.504192
2025-03-31,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2275.20308
2025-04-01,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2065.231319
2025-04-02,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1963.329389
2025-04-03,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2158.405301
2025-04-04,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2141.587684
2025-04-05,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2284.600545
2025-04-06,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1884.190429
2025-04-07,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1988.849028
2025-04-08,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1959.187951
2025-04-09,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1808.685506
2025-04-10,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2121.241005
2025-04-11,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2188.671108
2025-04-12,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1975.883275
2025-04-13,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2332.788709
2025-04-14,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2238.083289
2025-04-15,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2205.399248
2025-04-16,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2167.486791
2025-04-17,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2260.552487
2025-04-18,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1876.227387
2025-04-19,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2203.140183
2025-04-20,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2201.266508
2025-04-21,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1803.023279
2025-04-22,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2158.301057
2025-04-23,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2057.929214
2025-04-24,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2231.295813
2025-04-25,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2026.237552
2025-04-26,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2096.935536
2025-04-27,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2157.599055
2025-04-28,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1952.788036
2025-04-29,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2200.564237
2025-04-30,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2082.366184
2025-05-01,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2182.737081
2025-05-02,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2012.331299
2025-05-03,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2282.481859
2025-05-04,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2201.673932
2025-05-05,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2070.091796
2025-05-06,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2206.168802
2025-05-07,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2311.638867
2025-05-08,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2400.917486
2025-05-09,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1835.63917
2025-05-10,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2248.366144
2025-05-11,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2178.131509
2025-05-12,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2084.231389
2025-05-13,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1930.880291
2025-05-14,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2311.207687
2025-05-15,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1888.028017
2025-05-16,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2195.246838
2025-05-17,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2318.713823
2025-05-18,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1831.25556
2025-05-19,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2049.177003
2025-05-20,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1880.051575
2025-05-21,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2141.00109
2025-05-22,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2354.415022
2025-05-23,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2439.957413
2025-05-24,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1801.276774
2025-05-25,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2003.408567
2025-05-26,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2218.195576
2025-05-27,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2365.334606
2025-05-28,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2170.763388
2025-05-29,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1974.646464
2025-05-30,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2149.918094
2025-05-31,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2097.207974
2025-06-01,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2065.771559
2025-06-02,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1976.608855
2025-06-03,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2165.059639
2025-06-04,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2151.723777
2025-06-05,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2084.378667
2025-06-06,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2062.756426
2025-06-07,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1884.134016
2025-06-08,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2018.322488
2025-06-09,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2302.683545
2025-06-10,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2067.986213
2025-06-11,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1858.130851
2025-06-12,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2324.186392
2025-06-13,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2189.084589
2025-06-14,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2454.158621
2025-06-15,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2110.502044
2025-06-16,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2022.487391
2025-06-17,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1856.795691
2025-06-18,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2322.404846
2025-06-19,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2531.677934
2025-06-20,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1962.082931
2025-06-21,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1991.289276
2025-06-22,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2200.159718
2025-06-23,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1960.501967
2025-06-24,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2054.546194
2025-06-25,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2041.227266
2025-06-26,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2132.249093
2025-06-27,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2283.929498
2025-06-28,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2103.707355
2025-06-29,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2254.376896
2025-06-30,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2029.458665
2025-07-01,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2155.070154
2025-07-02,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1740.778101
2025-07-03,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,1856.408725
2025-07-04,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2233.713453
2025-07-05,gcp,us-central1,compute_engine,a2-highgpu-1g,instance_month,2000.854901
